=== bicomprdbd1 ===

-- biprd --

OWNER              TABLE_NAME                          ULTIMA_PARTICION          VALOR_LIMITE    MESES_RESTANTES
------------------ ----------------------------------- ------------------------- --------------- ---------------
DWHCBODI           DW_DT_ACTIVIDAD_CAMPO_ODI           P_202612                  2027-01-01      7.0
DWHCBODI           DW_DT_FACTURA_ODI                   P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_ACTIVIDAD_PENDIENTE           P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_AJUSTES                       P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_AS_HIST                       P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_ASIGNACION                    P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_CARGO_FACTURABLE              P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_CARGO_PENDIENTE_FACTURAR      P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_CASOS                         P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_CASOS_CONV                    P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_CASOS_REABIERTOS              P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_CICLO_ACTIVIDAD               P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_CONGELADO_MES_ACT             P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_CONTRATACIONES                P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_DEUDA                         P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_DOC_IMP                       P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_FACTURACION                   P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_FACTURACION_AUDIT             P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_FACTURACION_AUDIT_ALTA        P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_FACTURACION_BKUP_VAL          P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_FACTURACION_PROMEDIO_INI      P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_FACTURACION_PROMEDIOS         P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_FACTURACION_PROMEDIOS2        P_202612                  2027-01-01      7.0
DWHCBODI           DW_FT_FACTURACION_RESUMEN           P_202612                  2027-01-01      7.0
